CUI	UMLS_PREF	INCORRECT
C0337443	sodium measurement	sodium
C0024117	chronic obstructive airway disease	cold
C0719425	Cold brand of chlorpheniramine-phenylpropanolamine	cold
C1269565	entire digestive system	digestive system
C0014537	structure of epidural space	epidural
C1283259	epidural (physical object)	epidural
C1267547	entire mouth region	mouth
C1278910	entire oral cavity	mouth
C1269032	entire uterus	uterus
C1283892	entire nasal passage (body structure)	nasal passages
C0401156	vomiting nos (disorder)	vomiting
C1144789	penicillinum, homeopathic preparation	penicillin
C1161366	zincum metallicum, homeopathic preparation	zinc
C0180580	electrocardiographic monitoring (regime/therapy)	EKG
C0337438	glucose measurement	glucose
C0235146	euphoric mood	high
C0702216	soma brand of carisoprodol	soma
C1280736	entire palatine tonsil	tonsils
C0161541	poisoning by heroin	heroin
C0876889	pediatric	pediatrics
C0201850	alkaline phosphatase measurement	alkaline phosphatase
C1149888	alkaline phosphatase activity	alkaline phosphatase
C1318717	alkaline phosphatase stain	alkaline phosphatase
C0032002	pituitary diseases	pituitary
C0521346	respiratory	respiratory
C1305754	entire immune system	immune system
C0521066	parasitic	parasites
C0521009	bacterial	bacteria
C0038215	science of statistics	statistics
C0020311	hydrotherapy	water
C0180580	electrocardiographic monitoring (regime/therapy)	ECG
C1278896	entire nose	nose
C0885644	oxygenium, homeopathic preparation	oxygen
C1278851	entire sciatic nerve	sciatic nerve
C0025520	metabolic aspects	metabolism
C1256375	mercurius vivus, homeopathic preparation	mercury
C0348026	diagnostic	diagnosis
C1283839	entire ankle region	ankle
C1269561	entire respiratory system	respiratory system
C0039798	therapeutic aspects	treatment
C0869673	procedures on bone marrow	bone marrow
C1266908	entire bone (organ)	bones
C1266909	entire bony skeleton	bones
C1305417	entire elbow region	elbow
C0008138	chiropractic (field)	chiropractic
C0220810	congenital defects	birth defects
C0719205	Central brand of multivitamin with minerals	central
C0723484	stye brand of yellow mercuric oxide	stye
C0720057	Dry Skin brand of emollient	dry skin
C0154199	disease of thymus gland	thymus
C0345975	benign neoplasm of thymus	thymus
C0496916	neoplasm of uncertain or unknown behavior of thymus	thymus
C0869570	procedures on thymus	thymus
C1280975	entire endocrine system (body structure)	endocrine system
C1278992	entire ovary	ovaries
C1278988	entire placenta	placenta
C0373548	arsenic measurement	arsenic
C1256368	arsenicum metallicum, homeopathic preparation	arsenic
C1023865	laser plant	laser
C0021501	injuries	trauma
C0548346	trauma assessment and care	trauma
C1256370	phenobarbitalum, homeopathic preparation	phenobarbital
C0719044	Burn brand of nitrofurazone	burn
C1268989	entire adrenal gland	adrenal gland
C0017399	genetic aspects	genetics
C0027769	nervousness	nerves
C1280541	entire nerve	nerves
C0205041	cardio-	cardiac
C0032344	poisoning aspects	poisoning
C1278880	entire pituitary gland	pituitary gland
C0871208	rating	rate
C0220797	biopsy characteristics	biopsy
C1278997	entire scalp	scalp
C1278934	entire aorta	aorta
C0592138	STD brand of sodium tetradecyl sulfate	STDs
C1305384	entire carotid artery	carotid artery
C1152583	angiotensin-converting enzyme inhibitor activity	ace inhibitor
C1321801	Fiber brand of calcium polycarbophil	fiber
C1280712	entire hypothalamus	hypothalamus
C0700631	encounter due to occupational therapy and vocational rehabilitation	occupational therapy
C0220844	growth aspects	growth
C0274432	infection as complication of medical care	infections
C0439204	inches	in
C1280345	entire hymen	hymen
C1278836	entire spinal cord	spinal cord
C1283922	entire skeleton	skeleton
C1279580	entire sternum	sternum
C0039798	therapeutic aspects	therapy
C1283836	entire wrist region	wrist
C0885728	poison oak, homeopathic preparation	poison oak
C0521026	viral	viral
C0033910	psychological aspects	psychology
C1280104	entire nail of finger	fingernails
C1279151	entire groin (surface region)	groin
C1278927	entire anus	anus
C0201883	amylase measurement	amylase
C1150038	amylase activity	amylase
C0373667	lead measurement, quantitative	lead
C1284096	entire testicle	testicles
C0040745	entire transplanted kidney (body structure)	kidney transplant
C0034619	radiotherapeutic	radiation therapy
C0885395	haldol decanoate, homeopathic preparation	haloperidol
C1280541	entire nerve	nerve
C1305910	entire vagus nerve	vagus nerve
C1304811	congenital	congenital
C1269538	entire cervical spine	cervical spine
C0521421	entire ear	ears
C0348026	diagnostic	diagnostic
C1305737	entire fetus	fetus
C0733942	encounter due to in vitro fertilization	IVF
C1278960	entire vein	veins
C0373486	benzodiazepines assay	benzodiazepines
C0412862	benzodiazepine poisoning	benzodiazepines
C0481151	benzodiazepines causing adverse effects in therapeutic use	benzodiazepines
C0373535	aldosterone measurement	aldosterone
C0720056	dry eyes brand of ocular lubricant	dry eyes
C1278992	entire ovary	ovary
C0039992	thorax	chest
C0876889	pediatric	pediatric
C0442022	lumbar (qualifier value)	lumbar
C0034992	rehabilitation aspects	rehabilitation
C0719132	canker sore brand of carbamide peroxide	canker sore
C0153377	malignant neoplasm of uvula	uvula
C1136353	ethical aspects	ethics
C0722754	Prenatal brand of multivitamin	prenatal
C0205469	pathological aspects	pathology
C0677042	pathology processes	pathology
C1269047	entire lymph node	lymph node
C1146720	cuprum metallicum, homeopathic preparation	copper
C1280742	entire vulva	vulva
C0497010	toxic effect of ketones	ketones
C0201835	adrenocorticotropic hormone measurement	ACTH
C1268998	entire small intestine	small intestine
C1280736	entire palatine tonsil	tonsil
C0014445	enzymology	enzymes
C0740775	lymphatic problem	lymphatic
C1278894	entire retina	retina
C0015677	fatty acid glycerol esters	fat
C0424612	obese build	fat
C0733942	encounter due to in vitro fertilization	in vitro fertilization
C1269542	entire sacrum	sacrum
C0729251	encounter due to breast reduction	breast reduction
C1279864	entire pelvis	pelvis
C1278904	entire larynx	larynx
C0521026	viral	viruses
C1278926	entire rectum	rectum
C0004992	benign neoplasm of cranial nerves	cranial nerves
C0496937	neoplasm of uncertain or unknown behavior of cranial nerves	cranial nerves
C0010674	cystic fibrosis	CFS
C0722758	Prenatal care brand of multivitamin	prenatal care
C1278905	entire trachea	trachea
C1305378	entire achilles tendon	achilles tendon
C1278878	entire thyroid gland	thyroid gland
C1279038	entire diaphragm	diaphragm
C1278841	entire brachial plexus	brachial plexus
C0042295	valuing	values
C1319687	no value (qualifier value)	values
C1318419	entire human body (body structure)	human body
C0452210	adverse effects caused by therapeutic use of valproic acid	valproic acid
C1279123	entire patella	patella
C1269004	entire mitral valve	mitral valve
C1281594	entire abdomen	abdomen
C0721797	motion sickness brand of dimenhydrinate	motion sickness
C0993608	disk drug form	disk
C0278960	history of myocardial infarction within 6 months	MI
C0332288	without	MI
C0014508	epidemiologic	epidemiology
C0699910	study of epidemiology	epidemiology
C1269647	entire cell	cell
C1269563	entire central nervous system	central nervous system
C0205041	cardio-	coronary
C1280105	entire nail of toe	toenail
C1273020	entire jaw region	jaw
C0220845	guiding characteristics	guidelines
C0031336	pharmacy (field)	pharmacy
C0993608	disk drug form	disc
C0719874	diaper rash brand of topical emollient	diaper rash
C0161530	poisoning by anticoagulant	anticoagulants
C0261806	adverse effects in the therapeutic use of anticoagulants	anticoagulants
C1281583	entire hand	hands
C0021501	injuries	wounds
C0885218	chloramphenicol palmitate, homeopathic preparation	chloramphenicol
C0025118	medicine	medicines
C0019665	history	history
C1279070	entire clavicle	clavicle
C0885508	lactic acid homeopathic preparation	lactic acid
C0009264	cold temperature	colds
C0024117	chronic obstructive airway disease	colds
C0234192	cold sensation	colds
C0719425	Cold brand of chlorpheniramine-phenylpropanolamine	colds
C1284096	entire testicle	testicle
C1268981	entire cerebellum	cerebellum
C1281574	entire urethra	urethra
C0521009	bacterial	bacterial
C1268973	entire inner ear	inner ear
C1280360	entire epiglottis	epiglottis
C1149836	lipase activity	lipase
C0719635	dos	docusate sodium
C0178828	entire reproductive system	reproductive system
C0439106	upper case sea	c
C0439128	lower case sea	c
C0205470	immunologic	immunology
C0721966	Nasal brand of oxymetazoline	nasal
C1283838	entire knee region	knees
C0220787	endotracheal aspiration	aspiration
C0700198	pulmonary aspiration	aspiration
C1306321	endotracheal aspiration (qualifier value)	aspiration
C0203634	nuclear medicine procedure	nuclear medicine
C0750480	count	count
C1278916	entire parotid gland	parotid gland
C0040733	transplantation aspects	transplant
C1278921	entire duodenum	duodenum
C1268999	entire large intestine	large intestine
C1268990	entire breast	breasts
C1278903	entire pharynx	pharynx
C0700049	encounter due to palliative care	palliative care
C0011155	deficiency	deficiency
C1279101	entire coccyx	coccyx
C1280740	entire scrotum	scrotum
C1278881	entire pineal gland	pineal gland
C1278909	entire mediastinum	mediastinum
C0719044	Burn brand of nitrofurazone	burning
C0439840	reflex motion descriptor	reflex
C0014852	esophageal diseases	esophageal
C1269080	entire ligament	ligament
C0702095	assessment of balance	balance
C0521033	fungal	fungal
C1280538	entire tendon	tendon
C0220829	fetal development aspects	fetal development
C0337432	androstenedione measurement	androstenedione
C1268985	entire optic nerve	optic nerve
C1150462	creatine kinase activity	creatine kinase
C0332461	plaque (lesion)	plaque
C0740199	encounter due to breast augmentation	breast augmentation
C0025953	microbiological	microbiology
C0481219	adverse effects caused by therapeutic use of immunoglobulin	immunoglobulin
C0228505	nodulus cerebelli	nodule
C0722716	Posture brand of calcium phosphate, tribasic	posture
C1305381	entire autonomic nervous system	autonomic nervous system
C0001486	adenovirus infections	adenovirus
C1279112	entire femur	femur
C1278889	entire cornea	cornea
C0452123	toxic effect of carbon dioxide	carbon dioxide
C0432616	blood group antibody A (substance)	anti
C0720136	ear wax brand of carbamide peroxide	ear wax
C0884854	physical devices	physical
C1148564	antioxidant activity	antioxidant
C0050385	AC protocol	ace
C1278847	entire ulnar nerve	ulnar nerve
C0205464	pharmacological	pharmacology
C1280734	entire eyelid	eyelid
C1281286	entire umbilical cord	umbilical cord
C1281577	entire rib	rib
C1269080	entire ligament	ligaments
C0001688	adverse effects	side effects
C0847048	urine test, blood/blood forming organs/immune mechanism	urine test
C0847114	urine test, digestive	urine test
C0847183	urine test, eye	urine test
C0847239	urine test, ear	urine test
C0847294	urine test, circulatory	urine test
C0847368	urine test, musculoskeletal	urine test
C0847440	urine test, neurological	urine test
C0847504	urine test, psychological	urine test
C0847565	urine test, respiratory	urine test
C0847638	urine test, skin	urine test
C0847693	urine test, endocrine/metabolic/nutritional	urine test
C0847744	urine test, urinary system	urine test
C0847801	urine test, pregnancy, childbearing, family planning	urine test
C0847873	urine test, female genital system including breast	urine test
C0847936	urine test, male genital system including breast	urine test
C0847989	urine test, social problems	urine test
C1280889	entire bile duct	bile duct
C1279118	entire tibia	tibia
C1150120	renin activity	renin
C0885644	oxygenium, homeopathic preparation	ozone
C1274040	result (navigational concept)	results
C1306819	entire prepuce	foreskin
C1269896	entire thalamus	thalamus
C1269070	entire sacroiliac joint	sacroiliac joint
C1281575	entire scapula	scapula
C1148561	anticoagulant activity	anticoagulant
C0723361	Skin Care brand of emollients	skin care
C1284077	entire hippocampus	hippocampus
C0234232	sore	sores
C1279178	entire bursa	bursa
C1278911	entire lip	lip
C1269611	entire joint	joint
C0021501	injuries	injury
C0034571	roentgenographic	x-ray
C0234222	baresthesia	pressure
C1306345	pressure - action (qualifier value)	pressure
C1281589	entire toe	toe
C0031843	physiological aspects	physiology
C1278925	entire cecum	cecum
C0687732	prevention	prevention
C1280341	entire urinary tract	urinary tract
C0016053	fibromyalgia	myofascial pain syndrome
C1279075	entire humerus	humerus
C0034619	radiotherapeutic	radiotherapy
C1305052	entire piriformis muscle	piriformis
C0031847	physiopathological	pathophysiology
C0002210	alpha-fetoproteins	AFP
C0201539	alpha one fetoprotein measurement	AFP
C0036093	salivary gland diseases	salivary glands
C1306748	entire thymus	thymus gland
C1269562	entire cardiovascular system	cardiovascular system
C1281584	entire finger	fingers
C0201898	ascorbic acid measurement	ascorbic acid
C0205462	histologic	histology
C1281580	entire fibula	fibula
C1281562	entire tooth	tooth
C1281584	entire finger	finger
C0161558	poisoning by barbiturate	barbiturates
C0205054	hepatic	hepatic
C1321510	entire basal nuclei	basal ganglia
C0261589	[x]kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (finding)	kidney dialysis
C1318215	3	3
C0040733	transplantation aspects	transplantation
C1283882	entire nephron	nephron
C1278982	entire epididymis	epididymis
C0362065	encounter due to sterilization	sterilization
C1279154	entire axilla	axilla
C0497008	toxic effect of benzene	benzene
C0202333	barium measurement	barium
C1152934	surfactant activity	surfactant
C1281572	entire ureter	ureter
C0002930	anesthesiology	anesthetics
C0496973	poisoning by opium	opium
C0013622	educational	education
C1280732	entire nipple	nipple
C1278960	entire vein	vein
C1314792	etiology	etiology
C0038895	surgical aspects	surgical
C0153641	malignant neoplasm of brain stem	brain stem
C0000786	spontaneous abortion	abortions
C1283786	entire blood vessel	blood vessels
C0524727	discipline of heart surgery	heart surgery
C0150497	encounter due to cardiac rehabilitation	cardiac rehabilitation
C0033107	prevention & control	prophylaxis
C1280104	entire nail of finger	fingernail
C1280551	dog	dog
C0543481	hypoplastic	hypoplasia
C1269647	entire cell	cells
C0175673	bale out	emergency
C0002500	amikacin assay	amikacin
C1280088	entire perineum	perineum
C0012155	diet	dieting
C0496874	benign neoplasm of peritoneum	peritoneum
C0496954	neoplasm of uncertain or unknown behavior of peritoneum	peritoneum
C0721593	maternity brand of multivitamin	maternity
C0521033	fungal	fungi
C1279051	entire fascia	fascia
C0722420	Pain Relief brand of acetaminophen	pain relief
C1269566	entire endometrium	endometrium
C1314792	etiology	causes
C0161544	poisoning by salicylate	salicylates
C0851323	salicylates causing adverse effects in therapeutic use	salicylates
C0677510	roman numeral IV	IV
C0040539	toxicity aspects	toxicity
C0330390	beta plant	beta
C0439096	beta greek letter	beta
C0243066	atresia	atresia
C0002576	aminophylline assay	aminophylline
C1269614	entire thorax	thorax
C0439105	upper case bee	b
C0439127	lower case bee	b
C1161338	melus, honey, homeopathic preparation	honey
C0481798	encounter due to family disruption	divorce
C1280660	entire cauda equina	cauda equina
C0161497	poisoning by sulfonamide	sulfonamides
C0261773	adverse reaction to sulfonamides	sulfonamides
C1161330	argentum metallicum, silver, homeopathic preparation	silver
C0262471	ent problem	ENT
C1274038	ear, nose and throat surgery	ENT
C0010820	cellular aspects of	cytology
C0200641	basophil count	basophils
C0332287	in addition to	plus
C1280551	dog	dogs
C1269609	entire metatarsal	metatarsal
C1305961	entire heart valve	heart valve
C1269613	entire thumb	thumb
C1281591	entire face	face
C1269646	entire sympathetic nervous system	sympathetic nervous system
C1278917	entire salivary gland	salivary gland
C1280732	entire nipple	nipples
C1278923	entire ileum	ileum
C1268977	entire frontal lobe	frontal lobe
C0038894	surgery specialty	surgeries
C0038895	surgical aspects	surgeries
C1269005	entire aortic valve	aortic valve
C1278890	entire sclera	sclera
C1151154	lactate dehydrogenase activity	lactate dehydrogenase
C0220900	prevalence aspects	prevalence
C0885650	parathyroid, homeopathic preparation	parathyroid hormone
C0452122	toxic effect of formaldehyde	formaldehyde
C0885346	formalinum, homeopathic preparation	formaldehyde
C1305801	entire atlas vertebra	atlas
C0456628	degrees fahrenheit	of
C0220812	cost aspects	cost
C1278897	entire adenoid	adenoid
C0015677	fatty acid glycerol esters	fats
C0424612	obese build	fats
C0042614	veterinary	veterinary
C1279061	entire vertebra	vertebra
C1305636	entire hair of pubis	pubic hair
C1279100	entire acetabulum	acetabulum
C1161395	cadmium metallicum, homeopathic preparation	cadmium
C0919646	androgens measurement	androgens
C0201839	aldolase measurement	aldolase
C1150802	aldolase activity	aldolase
C0039584	testicular diseases	testes
C0220814	cultural	culture
C0332461	plaque (lesion)	patch
C1305418	entire calf of leg (body structure)	calf
C1280999	entire pons	pons
C1278922	entire jejunum	jejunum
C0220909	aspects of disease screening	screening
C1279036	entire pleura	pleura
C1149384	cytokine activity	cytokine
C0220912	aspects of signs	signs
C0311392	physical findings	signs
C1269008	entire coronary artery	coronary artery
C0344110	macrolide poisoning	macrolides
C0481113	macrolides causing adverse effect	macrolides
C1269871	entire lumbar spine	lumbar spine
C1149593	thrombin activity	thrombin
C0723643	tension headache brand of acetaminophen-phenyltoloxamine	tension headache
C0031847	physiopathological	dysfunction
C0277785	functional disorder	dysfunction
C1305908	entire trigeminal nerve	trigeminal nerve
C1280392	entire soft palate	soft palate
C0452208	adverse effects caused by therapeutic use of aminoglycosides	aminoglycosides
C0496960	poisoning by aminoglycosides	aminoglycosides
C1269870	entire thoracic spine	thoracic spine
C0021501	injuries	injuries
C0006826	malignant neoplasms	malignant
C1305370	entire embryo	embryo
C1278845	entire median nerve	median nerve
C1278891	entire iris	iris
C1278991	entire fallopian tube	fallopian tube
C1279144	entire hip joint	hip joint
C0869781	procedures on coronary arteries	coronary arteries
C0220880	morbidity aspects	morbidity
C0885771	silicea terra homeopathic preparation	silica
C0205041	cardio-	cardio
C0722890	Pseudo brand of pseudoephedrine	pseudo
C0994454	home care aspects	home care
C0007807	in cerebrospinal fluid	cerebrospinal fluid
C1321592	learning disability - specialty (qualifier value)	learning disability
C1283887	entire limbic system	limbic system
C0018271	growth & development	growth development
C0524727	discipline of heart surgery	cardiac surgery
C0699719	encounter due to speech therapy	speech therapy
C1278933	entire pericardium	pericardium
C0599986	encounter due to genetic counseling	genetic counseling
C0392760	not free of (attribute)	free
C1140091	ai/rheum	air
C0224229	entire supraspinatus	supraspinatus
C1283786	entire blood vessel	blood vessel
C1280344	entire vas deferens	vas deferens
C0243107	development aspects	development
C0010414	infection by cryptococcus neoformans	cryptococcus
C0997624	cryptococcus <hymenomycetes>	cryptococcus
C1049925	cryptococcus <cytofilobasidiales>	cryptococcus
C1049926	cryptococcus <trichosporonales>	cryptococcus
C1095847	cryptococcus <filobasidiales>	cryptococcus
C1253952	cryptococcus <tremellomycetidae>	cryptococcus
C0199666	measurement of central venous pressure	central venous pressure
C1278914	entire palate	palate
C0050385	AC protocol	CA
C0678217	encounter due to sperm count	sperm count
C1278852	entire femoral nerve	femoral nerve
C1280654	entire cerebrum	cerebrum
C1281237	entire phrenic nerve	phrenic nerve
C1280704	entire choroid plexus	choroid plexus
C1281778	entire thyroglossal duct	thyroglossal duct
C0025664	methodology	procedures
C1280361	entire vocal cord	vocal cords
C0153436	malignant neoplasm of sigmoid colon	sigmoid colon
C0496864	benign neoplasm of sigmoid colon	sigmoid colon
C0033739	protozoa	protozoa
C0521066	parasitic	parasitic
C0000912	accident caused by unspecified fire	fire
C0032226	pleural diseases	pleural
C0161680	toxic effect of methyl alcohol	methanol
C1305027	entire trapezius muscle	trapezius
C0678217	encounter due to sperm count	semen analysis
C0220824	equipment used	equipment
C1149831	cholinesterase activity	cholinesterase
C0456079	disease classification level	levels
C1150137	caspase-1 activity	ice
C1281586	entire thigh	thigh
C0026566	aspects of mortality statistics	mortality
C1306528	entire scaphoid	scaphoid
C1305734	entire facial nerve	facial nerve
C0201836	alanine aminotransferase measurement	alanine aminotransferase
C1152213	alanine aminotransferase activity	alanine aminotransferase
C0036525	metastatic to	metastatic
C1280173	entire femoral artery	femoral artery
C1268976	entire submandibular gland	submandibular gland
C1282783	entire collateral ligament	collateral ligament
C0392912	entire body system (body structure)	body systems
C1279087	entire ulna	ulna
C0034571	roentgenographic	x ray
C1305921	entire peripheral nervous system	peripheral nervous system
C0019080	hemorrhage	hem
C0079107	chemical aspects	chemistry
C0334079	aplastic	aplastic
C0334079	aplastic	aplasia
C1268978	entire temporal lobe	temporal lobe
C0683368	symptoms	symptom
C0439104	upper case ay	AED
C0439126	lower case ay	AED
C1305775	entire portal vein	portal vein
C0220934	ultrasonic	ultrasounds
C0220911	serological aspects	serology
C0869464	encounter due to paternity testing	paternity testing
C0034571	roentgenographic	radiography
C0751437	adenohypophyseal diseases	anterior
C0728858	encounter due to smallpox vaccination	smallpox vaccination
C0039798	therapeutic aspects	disease management
C0523997	acetone measurement	acetone
C1260548	aurum metallicum, gold, homeopathic preparation	gold
C0039798	therapeutic aspects	treatments
C1269048	entire temporomandibular joint	temporomandibular joint
C1278846	entire radial nerve	radial nerve
C0031328	pharmacokinetic	pharmacokinetics
C0885556	magnetis poli ambo homeopathic preparation	magnet
C0449913	system (attribute)	system
C0701171	encounter due to health education	health education
C1305392	entire common bile duct	common bile duct
C1278981	entire testis	testis
C0723011	Relief brand of phenylephrine	relief
C0028708	nutrition assessment	assessment
C0542573	assessment: bowel elimination	assessment
C0549068	assessment: circulation	assessment
C0549070	assessment: coping	assessment
C0549071	assessment: fluid and electrolytes	assessment
C0549072	assessment: health behavior	assessment
C0549073	assessment: medications and blood products	assessment
C0549074	assessment: metabolism	assessment
C0549075	assessment: respiration	assessment
C0549076	assessment: safety	assessment
C0549077	assessment: self-care	assessment
C0549078	assessment: sensation, pain and comfort	assessment
C0549079	assessment: urinary elimination	assessment
C0549080	assessment: pre- or intra- or post-procedure	assessment
C0679207	knowledge acquisition using a method of assessment	assessment
C0870300	assessment: cognition	assessment
C1305618	entire pupil	pupil
C1279059	entire mandible	mandible
C0718247	Active brand of pseudoephedrine-triprolidine	active
C1278930	entire sphincter of oddi	sphincter of oddi
C1269575	entire medulla oblongata	medulla
C0006826	malignant neoplasms	malignancy
C0702121	antinuclear antibody assay	antinuclear antibody
C0161486	poisoning by penicillin	penicillins
C0413443	adverse reaction to penicillins	penicillins
C1269564	entire musculoskeletal system	musculoskeletal system
C0376315	manufactured form	forms
C1306665	entire brainstem	brainstem
C1281182	entire gastrointestinal tract	gastrointestinal tract
C0015392	eye	eye anatomy
C1305344	entire gastrocnemius	gastrocnemius
C1278888	entire conjunctiva	conjunctiva
C0998265	Cancer genus	cancers
C1269015	entire vertebral artery	vertebral artery
C0001614	adrenal cortex diseases	cortex
C0557651	room of building - study	studies
C0947630	scientific study	studies
C0243088	sequelae	sequelae
C1305316	entire medial meniscus	medial meniscus
C0155765	disease of capillaries	capillaries
C1269073	entire knee joint	knee joint
C0439110	upper case gee	g
C1305726	entire fontanel of skull	fontanelle
C0565666	alcohol intake (observable entity)	alcohol consumption
C1280190	entire vena cava	vena cava
C0220856	incidence of cases	incidence
C0040405	x-ray computed tomography	cats
C0439104	upper case ay	a
C0439126	lower case ay	a
C0013943	embryologic	embryology
C1152208	aminotransferase activity	transaminase
C1278919	entire esophagus	oesophagus
C0543481	hypoplastic	hypoplastic
C0274869	toxic effect of heavy metal	heavy metal poisoning
C1149478	adrenocorticotropin activity	corticotropin
C1269032	entire uterus	womb
C0220906	rickettsial	rickettsia
C0740845	imaging problem	imaging
C1280734	entire eyelid	eyelids
C0014537	structure of epidural space	epidurals
C1283259	epidural (physical object)	epidurals
C1279083	entire radius	radius
C1149106	angiotensin receptor activity	angiotensin receptor
C0202311	aluminum measurement	aluminium
C0439108	upper case ee	e
C0439131	lower case ee	e
C0470210	5	5
C0960756	factor A	factor
C1304986	entire deltoid muscle	deltoid
C0311392	physical findings	sign
C0344112	tetracycline poisoning	tetracyclines
C0481114	tetracyclines causing adverse effects in therapeutic use	tetracyclines
C0332155	did not receive therapy or drug for	ng
C0543482	morphological	morphology
C1267117	entire zygapophyseal joint	facet joint
C0304721	adrenal cortex extract	adrenal cortex
C1305933	entire vitreous humor	vitreous humor
C1267072	entire vertebral column	spinal column
C1282864	entire lumen of body system	lumen
C1280172	entire iliac artery	iliac artery
C1267211	entire duct (organ)	duct
C1269882	entire abdominal aorta	abdominal aorta
C0002778	analysis of substances	analysis
C0243101	prenatal development aspects	prenatal development
C1280188	entire jugular vein	jugular vein
C0869990	procedures on forearm	forearm
C1149063	cytochrome p450 activity	cytochrome p450
C1305533	entire cervical disc (body structure)	cervical disc
C0201834	acid phosphatase measurement	acid phosphatase
C1149886	acid phosphatase activity	acid phosphatase
C0042037	in urine	in urine
C1269897	entire cranial nerve	cranial nerve
C0702263	Counter brand of terbufos	counter
C0033213	problem (finding)	problems
C0175676	use of ultrasonography	ultrasonography
C1278951	entire renal artery	renal artery
C1149582	lysozyme activity	lysozyme
C1150075	lactase activity	lactase
C0452152	toxic effect of hydrogen sulfide	hydrogen sulfide
C0002921	local anesthesia	la
C0153417	malignant neoplasm of cardia	cardia
C0936282	malignant neoplasm, primary (morphologic abnormality)	blastoma
C1150284	trypsin activity	trypsin
C1278879	entire parathyroid gland	parathyroid gland
C1280521	entire capillary blood vessel (organ)	capillary
C0019360	herpes zoster	shingle
C1268975	entire nasopharynx	nasopharynx
C0220814	cultural	cultural
C0201849	antidiuretic hormone measurement	antidiuretic hormone
C1279153	entire cheek	cheek
C1305734	entire facial nerve	facial nerves
C0012203	diethylstilbestrol	de
C0220777	absorption characteristics	absorption
C1280744	entire umbilicus	umbilicus
C1269053	entire talus	talus
C0201899	aspartate aminotransferase assay	aspartate aminotransferase
C1152216	aspartate aminotransferase activity	aspartate aminotransferase
C0220862	isolation aspects	isolation
