CUI	UMLS_NAME
C0225079	entire collateral carpal ulnar ligament
C0225080	entire collateral carpal radial ligament
C0225143	entire bifurcated ligament
C0225917	entire left bundle branch
C0226029	entire left coronary artery
C0226042	entire right coronary artery
C0227805	entire carunculae hymenales
C0228562	entire spinal cord grey matter
C0228863	entire anterior interosseous nerve
C0229960	entire body as a whole (body structure)
C0243066	atresia
C0243070	aspects of congenital malformations
C0243072	derivatives
C0243073	assay
C0243074	chemical analysis
C0243076	antagonists
C0243079	microvasculature
C0243082	associated conditions
C0243083	associated disease
C0243086	concomitant conditions
C0243088	sequelae
C0243089	sequels
C0243091	cellular morphology
C0243095	findings
C0243097	financing characteristics
C0243100	embryonic development aspects
C0243101	prenatal development aspects
C0243102	enzyme activity
C0243103	ethnicity
C0243107	development aspects
C0243110	historical notes
C0243111	apparatus
C0243112	appliances
C0243113	instruments
C0243114	purification
C0243118	lawsuits
C0243119	medicolegal aspects
C0243120	ordinances
C0243121	statutes
C0243122	binding aspects
C0243123	biochemical pathways
C0243125	degradation
C0243126	incorporation
C0243127	biochemical turnover
C0243130	endemics
C0243132	occurrence
C0243137	helminthology
C0243138	protozoology
C0243139	cytopathology
C0243140	histopathological aspects
C0243145	pharmacodynamic aspects
C0243146	pharmacologic action
C0243151	cognitive aspects
C0243152	emotional aspects
C0243154	psychiatric aspects
C0243156	psychosocial aspects
C0243161	criteria
C0243163	supply aspects
C0243168	margin of safety
C0243173	urinary levels
C0243176	chemical composition
C0243177	chemical content
C0243178	chemical properties
C0243192	agonists
C0278445	entire introitus of vagina
C0282690	toxicokinetic
C0300926	mobilization
C0334079	aplastic
C0376243	financial
C0376244	funding aspects
C0376249	with frequency
C0392912	entire body system (body structure)
C0439751	entire (qualifier value)
C0444573	entire sacral spine (body structure)
C0444595	entire skin of perianal area (body structure)
C0446453	entire eye region (surface region) (body structure)
C0446582	entire tarsal canal (body structure)
C0446586	entire lesser toe (body structure)
C0446623	entire sensory organ (body structure)
C0446681	entire ventricle of brain (body structure)
C0446686	entire meninges of spinal cord (body structure)
C0446769	entire posterior interosseous nerve (body structure)
C0446959	entire lobe of right lung (body structure)
C0446960	entire lobe of left lung (body structure)
C0446994	entire truncal valve (body structure)
C0447009	entire leaflet of mitral valve (body structure)
C0447037	entire carotid bifurcation (body structure)
C0447050	entire infrarenal aorta (body structure)
C0447210	entire maxillary teeth (body structure)
C0447211	entire mandibular teeth (body structure)
C0447273	entire maxillary right central incisor tooth (body structure)
C0447274	entire maxillary right lateral incisor tooth (body structure)
C0447420	entire transverse folds of palate (body structure)
C0447550	entire intrahepatic duct (body structure)
C0447590	entire penile urethra
C0447596	entire corpus cavernosum (body structure)
C0447666	entire temporal fascia
C0447684	entire fascia of rectus abdominis muscle (body structure)
C0447697	entire joint of head and neck (body structure)
C0447723	entire joint between cervical vertebral bodies (body structure)
C0447764	entire joint of rib
C0447788	entire joint of sternum (body structure)
C0447805	entire tibiofibular joint (body structure)
C0447836	entire labrum glenoidale (body structure)
C0447892	entire interosseous membrane of leg (body structure)
C0447919	entire annular ligament of radius (body structure)
C0447962	entire cranial bone
C0448009	entire symphysis of mandible (body structure)
C0448058	entire olecranon (body structure)
C0448170	entire iliac spine (body structure)
C0448190	entire proximal femur (body structure)
C0448194	entire distal femur (body structure)
C0448205	entire articular facet of patella (body structure)
C0448240	entire tuberosity of navicular bone of foot (body structure)
C0448268	entire head of third metatarsal bone (body structure)
C0448271	entire vesalian bone (body structure)
C0448281	entire skeletal muscle of head and neck (body structure)
C0448305	entire levator palpebrae superioris (body structure)
C0448317	entire stylopharyngeus muscle (body structure)
C0448320	entire cricopharyngeal part of inferior constrictor pharyngeus muscle (body structure)
C0448358	entire longissimus muscle (body structure)
C0448359	entire spinalis muscle (body structure)
C0448430	entire skeletal muscle of upper limb (body structure)
C0448435	entire muscle of upper arm (body structure)
C0448438	entire muscle of forearm (body structure)
C0448447	entire intrinsic hand muscle (body structure)
C0448466	entire skeletal muscle of lower limb (body structure)
C0448472	entire posterior muscle of thigh
C0448476	entire skeletal muscle of lower leg (body structure)
C0448536	entire tendon of supraspinatus muscle
C0448555	entire deep flexor tendon of finger (body structure)
C0448636	entire peroneal longus plantaris muscle tendon (body structure)
C0448642	entire plantaris muscle tendon (body structure)
C0448795	entire circumorbital skin
C0448812	entire skin of lateral portion of neck (body structure)
C0448899	entire skin of knee
C0448927	entire skin of hip
C0450290	entire fovea centralis
C0456938	entire fossa ovalis of heart (body structure)
C0457055	entire sphincter urethrae muscle (body structure)
C0457113	entire left auricular appendage (body structure)
C0458248	entire skin of preauricular region (body structure)
C0458332	entire cerebral lobe (body structure)
C0458398	entire pole of kidney (body structure)
C0458403	entire layer of kidney (body structure)
C0458432	entire muscularis of urinary bladder (body structure)
C0458434	entire detrusor muscle of urinary bladder (body structure)
C0458455	entire prostatic urethra (body structure)
C0458608	entire dartos layer of scrotum (body structure)
C0458624	entire tunica albuginea of testis (body structure)
C0458677	entire duct of seminal vesicle (body structure)
C0458686	entire base of stapes (body structure)
C0458688	entire interstitial tissue of prostate (body structure)
C0458704	entire corpus spongiosum (body structure)
C0458948	entire colonic haustra (body structure)
C0458949	entire appendix epiploica (body structure)
C0459559	entire orbital wall (body structure)
C0459670	entire semilunar fold of conjunctiva (body structure)
C0459725	entire hair (body structure)
C0459737	entire ciliary epithelium (body structure)
C0459940	entire l4 vertebra
C0504592	entire body wall
C0520511	distributing
C0521033	fungal
C0521066	parasitic
C0543481	hypoplastic
C0543482	morphological
C0543483	pathogenic aspects
C0543484	catabolic aspects
C0555951	entire gallbladder fossa of liver (body structure)
C0559817	entire trochanteric section of femur (body structure)
C0559982	entire tendon of infraspinatus muscle (body structure)
C0559987	entire tendon of subscapularis muscle (body structure)
C0576462	entire proximal phalanx (body structure)
C0576463	entire middle phalanx (body structure)
C0576464	entire distal phalanx (body structure)
C0578894	entire spina mentalis (body structure)
C0580081	entire hemorrhoidal plexus (body structure)
C0581255	entire lower lobe bronchus (body structure)
C0582798	entire collateral ulnar ligament of elbow (body structure)
C0600686	related compounds
C0687114	organizational structure
C0699032	hierarchy
C0728866	drug effects
C0729905	entire ostium of coronary artery (body structure)
C0729906	entire ostium of left coronary artery (body structure)
C0935919	cellular structure aspects
C0969625	methodology aspects
C0994454	home care aspects
C1108678	death rate aspects
C1135598	postnatal development
C1135599	mental aspects
C1136353	ethical aspects
C1148554	determination aspects
C1176460	entire ankle surface region
C1254044	entire surface region of knee (body structure)
C1266915	entire condyle
C1267085	entire tarsal bone
C1267098	entire skeletal muscle of hip
C1267108	entire compound joint
C1267110	entire synovial joint
C1267111	entire fibrous joint
C1267112	entire syndesmosis
C1267113	entire gomphosis
C1267114	entire cartilaginous joint
C1267115	entire synchondrosis
C1267116	entire symphysis
C1267117	entire zygapophyseal joint
C1267145	entire tendon of thumb
C1267152	entire flexor tendon of thumb
C1267175	entire stylohyoid ligament
C1267195	entire metatarsal ligament
C1267196	entire thoracolumbar fascia
C1267200	entire falx inguinalis
C1267211	entire duct (organ)
C1267214	entire root of nose
C1267236	entire respiratory bronchiole
C1267263	entire vasa vasorum
C1267264	entire afferent arteriole
C1267265	entire efferent arteriole
C1267289	entire left anterior cerebral artery
C1267298	entire right middle cerebral artery
C1267299	entire left middle cerebral artery
C1267306	entire rolandic artery
C1267315	entire right vertebral artery
C1267316	entire left vertebral artery
C1267319	entire right posterior cerebral artery
C1267334	entire colic artery
C1267336	entire right renal artery
C1267355	entire left internal iliac artery
C1267357	entire gluteal artery
C1267403	entire postcapillary venule
C1267419	entire suprascapular vein
C1267425	entire sublingual vein
C1267472	entire right hepatic vein
C1267476	entire left testicular vein
C1267482	entire left renal vein
C1267483	entire right renal vein
C1267604	entire hepatic sinusoid
C1267759	entire subcostal nerve
C1268018	entire mandibular lymph node
C1268029	entire pretracheal lymph node
C1268059	entire cystic lymph node
C1268089	entire viscus
C1268233	entire right hip region
C1268234	entire left hip region
C1268255	entire right upper arm
C1268256	entire left upper arm
C1268257	entire right elbow region
C1268258	entire left elbow region
C1268513	entire embryo stage 2
C1268543	entire sternebra
C1268965	entire celiac artery
C1268966	entire frenulum linguae
C1268970	entire external auditory canal
C1268971	entire tympanic membrane
C1268972	entire middle ear
C1268973	entire inner ear
C1268974	entire nasal septum
C1268975	entire nasopharynx
C1268976	entire submandibular gland
C1268977	entire frontal lobe
C1268978	entire temporal lobe
C1268979	entire parietal lobe
C1268980	entire occipital lobe
C1268981	entire cerebellum
C1268982	entire lateral ventricle
C1268983	entire third ventricle
C1268984	entire olfactory nerve
C1268985	entire optic nerve
C1268986	entire trochlear nerve
C1268987	entire musculocutaneous nerve
C1268988	entire sympathetic trunk
C1268989	entire adrenal gland
C1268995	entire extraocular muscle
C1268997	entire upper gastrointestinal tract
C1268998	entire small intestine
C1268999	entire large intestine
C1269000	entire appendix
C1269002	entire greater duodenal papilla
C1269003	entire pancreatic duct
C1269004	entire mitral valve
C1269005	entire aortic valve
C1269006	entire tricuspid valve
C1269007	entire pulmonary valve
C1269008	entire coronary artery
C1269009	entire ascending aorta
C1269010	entire aortic arch
C1269011	entire anterior cerebral artery
C1269012	entire middle cerebral artery
C1269013	entire posterior cerebral artery
C1269014	entire posterior communicating artery
C1269015	entire vertebral artery
C1269016	entire inferior mesenteric artery
C1269017	entire internal iliac artery
C1269018	entire profunda femoris artery
C1269019	entire external iliac artery
C1269020	entire anterior tibial artery
C1269021	entire posterior tibial artery
C1269022	entire dorsalis pedis artery
C1269023	entire superior vena cava
C1269024	entire inferior vena cava
C1269025	entire internal jugular vein
C1269026	entire pulmonary artery
C1269027	entire common iliac vein
C1269029	entire small saphenous vein
C1269030	entire lower urinary tract
C1269031	entire rectouterine pouch
C1269035	entire skin of posterior surface of upper arm
C1269040	entire nail bed
C1269041	entire abdominal wall
C1269043	entire adductor muscle
C1269045	entire skeletal muscle of neck
C1269047	entire lymph node
C1269048	entire temporomandibular joint
C1269049	entire cervical vertebra
C1269050	entire thoracic vertebra
C1269051	entire lumbar vertebra
C1269052	entire tibial plateau
C1269053	entire talus
C1269054	entire os calcis
C1269055	entire sternoclavicular joint
C1269056	entire glenohumeral joint
C1269059	entire base of skull
C1269060	entire odontoid process of axis
C1269061	entire shaft of humerus
C1269062	entire bone of wrist
C1269063	entire triangular bone
C1269064	entire metacarpal
C1269065	entire anterior superior iliac spine
C1269070	entire sacroiliac joint
C1269071	entire patellofemoral joint
C1269072	entire femorotibial joint
C1269073	entire knee joint
C1269075	entire distal tibiofibular joint
C1269076	entire subtalar joint
C1269077	entire tarsometatarsal joint
C1269078	entire upper limb
C1269079	entire lower limb
C1269080	entire ligament
C1269081	entire ligamentum nuchae
C1269084	entire lateral collateral ligament of knee joint
C1269085	entire ligament of ankle joint
C1269087	entire subacromial bursa
C1269528	entire sphincter ani muscle
C1269529	entire aryepiglottic fold
C1269532	entire common hepatic duct
C1269533	entire floor of mouth
C1269536	entire ductus arteriosus
C1269538	entire cervical spine
C1269539	entire glans penis
C1269540	entire paraurethral gland
C1269541	entire petrous bone
C1269542	entire sacrum
C1269543	entire carpal canal
C1269544	entire epiploic foramen
C1269546	entire apex of left ventricle
C1269548	entire external ear
C1269549	entire zygoma
C1269550	entire urachus
C1269552	entire sinoatrial node
C1269553	entire atrioventricular node
C1269554	entire sinus of valsalva
C1269556	entire superior mesenteric vein
C1269559	entire hepatic vein
C1269560	entire nervous system
C1269561	entire respiratory system
C1269562	entire cardiovascular system
C1269563	entire central nervous system
C1269564	entire musculoskeletal system
C1269565	entire digestive system
C1269566	entire endometrium
C1269567	entire long thoracic nerve
C1269572	entire terminal bronchiole
C1269574	entire geniculate ganglion
C1269575	entire medulla oblongata
C1269576	entire broca's area
C1269577	entire transverse sinus
C1269578	entire substantia nigra
C1269579	entire red nucleus
C1269580	entire caudate nucleus
C1269581	entire corpus striatum
C1269582	entire lentiform nucleus
C1269583	entire lateral semicircular canal
C1269584	entire posterior semicircular canal
C1269585	entire anterior semicircular canal
C1269586	entire cochlear window
C1269587	entire superior pole of kidney
C1269588	entire inferior pole of kidney
C1269590	entire semicircular canal
C1269591	entire transverse cervical ligament
C1269592	entire nervus intermedius
C1269596	entire inferior alveolar nerve
C1269598	entire cisterna magna
C1269600	entire palpebral fissure
C1269601	entire optic tract
C1269602	entire metacarpophalangeal joint
C1269603	entire inferior mesenteric vein
C1269605	entire suprapatellar bursa
C1269608	entire shaft of ulna
C1269609	entire metatarsal
C1269610	entire metatarsophalangeal joint
C1269612	entire upper arm
C1269613	entire thumb
C1269614	entire thorax
C1269615	entire proximal end of humerus
C1269617	entire meckel's cartilage
C1269621	entire auditory vesicle
C1269645	entire body of sternum
C1269646	entire sympathetic nervous system
C1269692	entire hemithorax
C1269843	entire hemidiaphragm
C1269870	entire thoracic spine
C1269871	entire lumbar spine
C1269872	entire intercostal space
C1269877	entire skin of calf of leg
C1269881	entire basilar artery
C1269882	entire abdominal aorta
C1269883	entire left pulmonary artery
C1269884	entire right pulmonary artery
C1269885	entire internal thoracic artery
C1269886	entire left subclavian artery
C1269887	entire right subclavian artery
C1269888	entire hepatic artery proper
C1269889	entire inferior epigastric artery
C1269890	entire right atrium
C1269891	entire right ventricle
C1269892	entire left ventricle
C1269893	entire coronary sinus
C1269894	entire left atrium
C1269896	entire thalamus
C1269897	entire cranial nerve
C1269898	entire superior hypogastric plexus
C1269899	entire arcuate popliteal ligament
C1269900	entire oblique popliteal ligament
C1269901	entire foramen magnum
C1269902	entire costal cartilage
C1269903	entire posterior crural muscle
C1269914	entire popliteus
C1273020	entire jaw region
C1275494	entire temporalis muscle
C1275495	entire elbow joint
C1275511	entire preauricular region
C1275964	entire scalp vein
C1275965	entire antecubital vein
C1276270	entire blood vessel of head
C1276862	entire endocervical glandular cell
C1277118	entire stylomastoid foramen
C1277310	entire temporal fossa
C1277311	entire pterygopalatine fossa
C1277314	entire glabella
C1277593	entire hypoglossal canal
C1277604	entire tuberculum sellae
C1277940	entire tonsillar crypt
C1278282	entire angular artery
C1278459	entire retromandibular vein
C1278543	entire fetal vertex
C1278585	entire right external carotid artery
C1278586	entire left external carotid artery
C1278588	entire right internal carotid artery
C1278637	entire cervical spinal canal
C1278647	entire ligament of neck
C1278658	entire hair of neck
C1278686	entire laryngeal pouch
C1278707	entire thyroid notch
C1278758	entire carotid sheath
C1278779	entire thyroid follicle
C1278782	entire thyroid capsule
C1278814	entire pharyngeal bursa
C1278832	entire fourth ventricle
C1278834	entire abducens nerve
C1278835	entire vestibulocochlear nerve
C1278836	entire spinal cord
C1278837	entire cervical spinal cord
C1278838	entire lumbar spinal cord
C1278839	entire spinal nerve root
C1278841	entire brachial plexus
C1278844	entire axillary nerve
C1278845	entire median nerve
C1278846	entire radial nerve
C1278847	entire ulnar nerve
C1278850	entire lumbosacral plexus
C1278851	entire sciatic nerve
C1278852	entire femoral nerve
C1278853	entire obturator nerve
C1278854	entire lateral femoral cutaneous nerve
C1278855	entire ilioinguinal nerve
C1278856	entire iliohypogastric nerve
C1278857	entire sacral plexus
C1278858	entire pudendal nerve
C1278859	entire superior gluteal nerve
C1278860	entire inferior gluteal nerve
C1278861	entire genitofemoral nerve
C1278864	entire sural nerve
C1278865	entire common peroneal nerve
C1278866	entire tibial nerve
C1278867	entire saphenous nerve
C1278868	entire superficial peroneal nerve
C1278869	entire deep peroneal nerve
C1278870	entire medial plantar nerve
C1278871	entire lateral plantar nerve
C1278872	entire sympathetic nerve
C1278873	entire stellate ganglion
C1278875	entire cervical plexus
C1278877	entire suprascapular nerve
C1278878	entire thyroid gland
C1278879	entire parathyroid gland
C1278880	entire pituitary gland
C1278881	entire pineal gland
C1278884	entire orbital region
C1278885	entire canthus
C1278886	entire lacrimal gland
C1278888	entire conjunctiva
C1278889	entire cornea
C1278890	entire sclera
C1278891	entire iris
C1278892	entire lens
C1278893	entire vitreous body
C1278894	entire retina
C1278895	entire cochlea
C1278897	entire adenoid
C1278898	entire nasal sinus
C1278899	entire maxillary sinus
C1278900	entire frontal sinus
C1278901	entire ethmoid sinus
C1278902	entire sphenoid sinus
C1278903	entire pharynx
C1278904	entire larynx
C1278905	entire trachea
C1278906	entire carina
C1278907	entire bronchus
C1278909	entire mediastinum
C1278911	entire lip
C1278912	entire gingiva
C1278914	entire palate
C1278916	entire parotid gland
C1278917	entire salivary gland
C1278918	entire salivary duct
C1278919	entire esophagus
C1278921	entire duodenum
C1278922	entire jejunum
C1278923	entire ileum
C1278925	entire cecum
C1278926	entire rectum
C1278927	entire anus
C1278928	entire biliary tract
C1278930	entire sphincter of oddi
C1278931	entire pancreas
C1278932	entire spleen
C1278933	entire pericardium
C1278934	entire aorta
C1278935	entire descending thoracic aorta
C1278936	entire cerebral artery
C1278937	entire ophthalmic artery
C1278938	entire anterior communicating artery
C1278939	entire axillary artery
C1278940	entire brachial artery
C1278942	entire superficial temporal artery
C1278943	entire maxillary artery
C1278944	entire lingual artery
C1278945	entire facial artery
C1278946	entire anterior spinal artery
C1278948	entire radial artery
C1278949	entire ulnar artery
C1278951	entire renal artery
C1278953	entire popliteal artery
C1278955	entire superior gluteal artery
C1278957	entire peroneal artery
C1278960	entire vein
C1278961	entire renal vein
C1278962	entire brachiocephalic vein
C1278963	entire external jugular vein
C1278964	entire facial vein
C1278965	entire lingual vein
C1278967	entire subclavian vein
C1278968	entire axillary vein
C1278969	entire brachial vein
C1278970	entire cephalic vein
C1278971	entire median cubital vein
C1278972	entire basilic vein
C1278975	entire gluteal vein
C1278976	entire long saphenous vein
C1278977	entire upper urinary tract
C1278979	entire base of right lung
C1278981	entire testis
C1278982	entire epididymis
C1278983	entire spermatic cord
C1278984	entire seminal vesicle
C1278986	entire clitoris
C1278987	entire cervix uteri
C1278988	entire placenta
C1278991	entire fallopian tube
C1278992	entire ovary
C1278994	entire skin of forehead
C1278995	entire skin of cheek
C1278996	entire skin of chin
C1278997	entire scalp
C1278998	entire skin of head
C1278999	entire skin of trunk
C1279000	entire skin of breast
C1279001	entire skin of back
C1279002	entire skin of buttock
C1279005	entire skin of nipple
C1279006	entire skin of areola
C1279010	entire skin of hand
C1279011	entire skin of foot
C1279012	entire skin of toe
C1279013	entire skin of upper arm
C1279014	entire skin of elbow
C1279016	entire skin of wrist
C1279017	entire skin of thigh
C1279019	entire skin of ankle
C1279029	entire nail of thumb
C1279035	entire chest wall
C1279036	entire pleura
C1279038	entire diaphragm
C1279039	entire peritoneal cavity
C1279040	entire triceps brachii
C1279042	entire iliotibial tract
C1279044	entire skeletal muscle of back
C1279045	entire intercostal muscle
C1279046	entire cervical lymph node
C1279047	entire scalene lymph node
C1279048	entire axillary lymph node
C1279049	entire mediastinal lymph node
C1279050	entire inguinal lymph node
C1279051	entire fascia
C1279052	entire frontal bone
C1279053	entire parietal bone
C1279054	entire temporal bone
C1279055	entire occipital bone
C1279056	entire facial bone
C1279057	entire nasal bone
C1279059	entire mandible
C1279060	entire maxilla
C1279061	entire vertebra
C1279062	entire cranium
C1279064	entire posterior arch of atlas
C1279070	entire clavicle
C1279073	entire spine of scapula
C1279075	entire humerus
C1279076	entire head of humerus
C1279077	entire medial epicondyle of humerus
C1279079	entire lateral epicondyle of humerus
C1279080	entire greater tuberosity of humerus
C1279082	entire surgical neck of humerus
C1279083	entire radius
C1279084	entire head of radius
C1279085	entire neck of radius
C1279086	entire styloid process of radius
C1279087	entire ulna
C1279088	entire coronoid process of ulna
C1279096	entire first rib
C1279099	entire ischium
C1279100	entire acetabulum
C1279101	entire coccyx
C1279102	entire ilium
C1279104	entire iliac crest
C1279105	entire pubis
C1279107	entire pubic tubercle
C1279109	entire ischial tuberosity
C1279110	entire ischial spine
C1279112	entire femur
C1279113	entire shaft of femur
C1279114	entire greater trochanter of femur
C1279115	entire lesser trochanter of femur
C1279118	entire tibia
C1279121	entire lateral condyle of tibia
C1279122	entire head of fibula
C1279123	entire patella
C1279125	entire cuboid
C1279128	entire head of talus
C1279137	entire acromioclavicular joint
C1279139	entire wrist joint
C1279142	entire joint of finger
C1279144	entire hip joint
C1279146	entire ankle joint
C1279151	entire groin (surface region)
C1279152	entire back of head
C1279153	entire cheek
C1279154	entire axilla
C1279155	entire iliac fossa
C1279156	entire sacral region
C1279158	entire pubic region
C1279161	entire coracoacromial ligament
C1279162	entire glenohumeral ligament
C1279168	entire ligament of hip joint
C1279169	entire iliofemoral ligament
C1279172	entire ligament of knee joint
C1279175	entire plantar aponeurosis
C1279176	entire long plantar ligament
C1279178	entire bursa
C1279179	entire trochanteric bursa
C1279180	entire prepatellar bursa
C1279181	entire infrapatellar bursa
C1279337	entire inferior hypogastric plexus
C1279397	entire paratracheal lymph node
C1279402	entire tracheal muscle
C1279404	entire tracheal lumen
C1279411	entire ligamentum arteriosum
